ÈÕÆÚ,²ËÆ·Ãû³Æ,ÏúÁ¿ÕæÊµÖµ,ÏúÁ¿Ô¤²âÖµ,¾ø¶ÔÎó²î,Ïà¶ÔÎó²î,×¼È·ÂÊ,Æ½¾ù¾ø¶ÔÎó²î
2017-08-15,(B)±´Öù»¬(°ë),10.0,13.0,3.0,30.00%,70.00%,4.6136986301369864
2017-08-16,(B)±´Öù»¬(°ë),14.0,12.0,-2.0,-14.29%,85.71%,
2017-08-17,(B)±´Öù»¬(°ë),12.0,12.0,0.0,0.00%,100.00%,
2017-08-18,(B)±´Öù»¬(°ë),12.0,11.0,-1.0,-8.33%,91.67%,
2017-08-19,(B)±´Öù»¬(°ë),22.0,18.0,-4.0,-18.18%,81.82%,
2017-08-15,(B)ËñÆ¬(°ë),45.0,46.0,1.0,2.22%,97.78%,
2017-08-16,(B)ËñÆ¬(°ë),58.0,45.0,-13.0,-22.41%,77.59%,
2017-08-17,(B)ËñÆ¬(°ë),45.0,49.0,4.0,8.89%,91.11%,
2017-08-18,(B)ËñÆ¬(°ë),54.0,53.0,-1.0,-1.85%,98.15%,
2017-08-19,(B)ËñÆ¬(°ë),72.0,69.0,-3.0,-4.17%,95.83%,
2017-08-15,Ä¾¶ú,9.0,11.0,2.0,22.22%,77.78%,
2017-08-16,Ä¾¶ú,12.0,12.0,0.0,0.00%,100.00%,
2017-08-17,Ä¾¶ú,9.0,12.0,3.0,33.33%,66.67%,
2017-08-18,Ä¾¶ú,8.0,10.0,2.0,25.00%,75.00%,
2017-08-19,Ä¾¶ú,20.0,16.0,-4.0,-20.00%,80.00%,
2017-08-15,´ó°×²Ë,24.0,19.0,-5.0,-20.83%,79.17%,
2017-08-16,´ó°×²Ë,25.0,17.0,-8.0,-32.00%,68.00%,
2017-08-17,´ó°×²Ë,19.0,22.0,3.0,15.79%,84.21%,
2017-08-18,´ó°×²Ë,20.0,19.0,-1.0,-5.00%,95.00%,
2017-08-19,´ó°×²Ë,27.0,29.0,2.0,7.41%,92.59%,
2017-08-15,(B)ºìÊí·Û´ø(°ë),48.0,55.0,7.0,14.58%,85.42%,
2017-08-16,(B)ºìÊí·Û´ø(°ë),49.0,58.0,9.0,18.37%,81.63%,
2017-08-17,(B)ºìÊí·Û´ø(°ë),62.0,57.0,-5.0,-8.06%,91.94%,
2017-08-18,(B)ºìÊí·Û´ø(°ë),63.0,55.0,-8.0,-12.70%,87.30%,
2017-08-19,(B)ºìÊí·Û´ø(°ë),90.0,91.0,1.0,1.11%,98.89%,
2017-08-15,¿íÜæ·Û,19.0,17.0,-2.0,-10.53%,89.47%,
2017-08-16,¿íÜæ·Û,14.0,17.0,3.0,21.43%,78.57%,
2017-08-17,¿íÜæ·Û,15.0,17.0,2.0,13.33%,86.67%,
2017-08-18,¿íÜæ·Û,18.0,19.0,1.0,5.56%,94.44%,
2017-08-19,¿íÜæ·Û,20.0,22.0,2.0,10.00%,90.00%,
2017-08-15,Î÷Ê½Å£Èâ»¬,8.0,10.0,2.0,25.00%,75.00%,
2017-08-16,Î÷Ê½Å£Èâ»¬,10.0,10.0,0.0,0.00%,100.00%,
2017-08-17,Î÷Ê½Å£Èâ»¬,13.0,9.0,-4.0,-30.77%,69.23%,
2017-08-18,Î÷Ê½Å£Èâ»¬,13.0,12.0,-1.0,-7.69%,92.31%,
2017-08-19,Î÷Ê½Å£Èâ»¬,13.0,14.0,1.0,7.69%,92.31%,
2017-08-15,(B)ºìÊí(°ë),55.0,49.0,-6.0,-10.91%,89.09%,
2017-08-16,(B)ºìÊí(°ë),58.0,53.0,-5.0,-8.62%,91.38%,
2017-08-17,(B)ºìÊí(°ë),55.0,53.0,-2.0,-3.64%,96.36%,
2017-08-18,(B)ºìÊí(°ë),56.0,55.0,-1.0,-1.79%,98.21%,
2017-08-19,(B)ºìÊí(°ë),87.0,78.0,-9.0,-10.34%,89.66%,
2017-08-15,ºìÊí,9.0,7.0,-2.0,-22.22%,77.78%,
2017-08-16,ºìÊí,11.0,10.0,-1.0,-9.09%,90.91%,
2017-08-17,ºìÊí,12.0,7.0,-5.0,-41.67%,58.33%,
2017-08-18,ºìÊí,10.0,10.0,0.0,0.00%,100.00%,
2017-08-19,ºìÊí,16.0,15.0,-1.0,-6.25%,93.75%,
2017-08-15,ÇàËñ,14.0,16.0,2.0,14.29%,85.71%,
2017-08-16,ÇàËñ,19.0,15.0,-4.0,-21.05%,78.95%,
2017-08-17,ÇàËñ,14.0,16.0,2.0,14.29%,85.71%,
2017-08-18,ÇàËñ,16.0,16.0,0.0,0.00%,100.00%,
2017-08-19,ÇàËñ,22.0,24.0,2.0,9.09%,90.91%,
2017-08-15,(B)°×ÂÜ²·(°ë),57.0,55.0,-2.0,-3.51%,96.49%,
2017-08-16,(B)°×ÂÜ²·(°ë),64.0,54.0,-10.0,-15.62%,84.38%,
2017-08-17,(B)°×ÂÜ²·(°ë),56.0,57.0,1.0,1.79%,98.21%,
2017-08-18,(B)°×ÂÜ²·(°ë),56.0,56.0,0.0,0.00%,100.00%,
2017-08-19,(B)°×ÂÜ²·(°ë),92.0,91.0,-1.0,-1.09%,98.91%,
2017-08-15,(B)ÀÌÅÉÂéÀ±»¬Å£(°ë),133.0,126.0,-7.0,-5.26%,94.74%,
2017-08-16,(B)ÀÌÅÉÂéÀ±»¬Å£(°ë),134.0,128.0,-6.0,-4.48%,95.52%,
2017-08-17,(B)ÀÌÅÉÂéÀ±»¬Å£(°ë),124.0,125.0,1.0,0.81%,99.19%,
2017-08-18,(B)ÀÌÅÉÂéÀ±»¬Å£(°ë),128.0,126.0,-2.0,-1.56%,98.44%,
2017-08-19,(B)ÀÌÅÉÂéÀ±»¬Å£(°ë),199.0,190.0,-9.0,-4.52%,95.48%,
2017-08-15,Å£À¸É½¶þ¹øÍ·42¶È500ml£¨°×Æ¿£©,16.0,14.0,-2.0,-12.50%,87.50%,
2017-08-16,Å£À¸É½¶þ¹øÍ·42¶È500ml£¨°×Æ¿£©,15.0,16.0,1.0,6.67%,93.33%,
2017-08-17,Å£À¸É½¶þ¹øÍ·42¶È500ml£¨°×Æ¿£©,18.0,17.0,-1.0,-5.56%,94.44%,
2017-08-18,Å£À¸É½¶þ¹øÍ·42¶È500ml£¨°×Æ¿£©,18.0,14.0,-4.0,-22.22%,77.78%,
2017-08-19,Å£À¸É½¶þ¹øÍ·42¶È500ml£¨°×Æ¿£©,20.0,18.0,-2.0,-10.00%,90.00%,
2017-08-15,Îå³£Ã×·¹,40.0,30.0,-10.0,-25.00%,75.00%,
2017-08-16,Îå³£Ã×·¹,34.0,29.0,-5.0,-14.71%,85.29%,
2017-08-17,Îå³£Ã×·¹,40.0,33.0,-7.0,-17.50%,82.50%,
2017-08-18,Îå³£Ã×·¹,40.0,28.0,-12.0,-30.00%,70.00%,
2017-08-19,Îå³£Ã×·¹,52.0,49.0,-3.0,-5.77%,94.23%,
2017-08-15,ÍÞÍÞ²Ë,30.0,27.0,-3.0,-10.00%,90.00%,
2017-08-16,ÍÞÍÞ²Ë,33.0,25.0,-8.0,-24.24%,75.76%,
2017-08-17,ÍÞÍÞ²Ë,26.0,29.0,3.0,11.54%,88.46%,
2017-08-18,ÍÞÍÞ²Ë,28.0,31.0,3.0,10.71%,89.29%,
2017-08-19,ÍÞÍÞ²Ë,48.0,44.0,-4.0,-8.33%,91.67%,
2017-08-15,ÍÞÍÞ²Ë(°ë),122.0,106.0,-16.0,-13.11%,86.89%,
2017-08-16,ÍÞÍÞ²Ë(°ë),122.0,115.0,-7.0,-5.74%,94.26%,
2017-08-17,ÍÞÍÞ²Ë(°ë),115.0,120.0,5.0,4.35%,95.65%,
2017-08-18,ÍÞÍÞ²Ë(°ë),117.0,119.0,2.0,1.71%,98.29%,
2017-08-19,ÍÞÍÞ²Ë(°ë),181.0,161.0,-20.0,-11.05%,88.95%,
2017-08-15,²¤²Ë,26.0,21.0,-5.0,-19.23%,80.77%,
2017-08-16,²¤²Ë,19.0,20.0,1.0,5.26%,94.74%,
2017-08-17,²¤²Ë,26.0,19.0,-7.0,-26.92%,73.08%,
2017-08-18,²¤²Ë,23.0,20.0,-3.0,-13.04%,86.96%,
2017-08-19,²¤²Ë,28.0,29.0,1.0,3.57%,96.43%,
2017-08-15,ÀÌÅÉÂéÀ±»¬Å£,96.0,80.0,-16.0,-16.67%,83.33%,
2017-08-16,ÀÌÅÉÂéÀ±»¬Å£,100.0,98.0,-2.0,-2.00%,98.00%,
2017-08-17,ÀÌÅÉÂéÀ±»¬Å£,82.0,94.0,12.0,14.63%,85.37%,
2017-08-18,ÀÌÅÉÂéÀ±»¬Å£,96.0,98.0,2.0,2.08%,97.92%,
2017-08-19,ÀÌÅÉÂéÀ±»¬Å£,145.0,138.0,-7.0,-4.83%,95.17%,
2017-08-15,°ÄÖÞ·ÊÅ£(ºÍÅ£),41.0,32.0,-9.0,-21.95%,78.05%,
2017-08-16,°ÄÖÞ·ÊÅ£(ºÍÅ£),43.0,31.0,-12.0,-27.91%,72.09%,
2017-08-17,°ÄÖÞ·ÊÅ£(ºÍÅ£),33.0,34.0,1.0,3.03%,96.97%,
2017-08-18,°ÄÖÞ·ÊÅ£(ºÍÅ£),45.0,36.0,-9.0,-20.00%,80.00%,
2017-08-19,°ÄÖÞ·ÊÅ£(ºÍÅ£),46.0,55.0,9.0,19.57%,80.43%,
2017-08-15,¸¯Öñ,16.0,14.0,-2.0,-12.50%,87.50%,
2017-08-16,¸¯Öñ,18.0,15.0,-3.0,-16.67%,83.33%,
2017-08-17,¸¯Öñ,12.0,15.0,3.0,25.00%,75.00%,
2017-08-18,¸¯Öñ,18.0,18.0,0.0,0.00%,100.00%,
2017-08-19,¸¯Öñ,22.0,22.0,0.0,0.00%,100.00%,
2017-08-15,ÑªÍú,76.0,67.0,-9.0,-11.84%,88.16%,
2017-08-16,ÑªÍú,77.0,73.0,-4.0,-5.19%,94.81%,
2017-08-17,ÑªÍú,61.0,72.0,11.0,18.03%,81.97%,
2017-08-18,ÑªÍú,77.0,72.0,-5.0,-6.49%,93.51%,
2017-08-19,ÑªÍú,102.0,94.0,-8.0,-7.84%,92.16%,
2017-08-15,ÓÍ¶¹Æ¤,31.0,23.0,-8.0,-25.81%,74.19%,
2017-08-16,ÓÍ¶¹Æ¤,37.0,28.0,-9.0,-24.32%,75.68%,
2017-08-17,ÓÍ¶¹Æ¤,23.0,27.0,4.0,17.39%,82.61%,
2017-08-18,ÓÍ¶¹Æ¤,36.0,36.0,0.0,0.00%,100.00%,
2017-08-19,ÓÍ¶¹Æ¤,46.0,47.0,1.0,2.17%,97.83%,
2017-08-15,(B)°üÐÄÉú²Ë(°ë),97.0,82.0,-15.0,-15.46%,84.54%,
2017-08-16,(B)°üÐÄÉú²Ë(°ë),96.0,81.0,-15.0,-15.62%,84.38%,
2017-08-17,(B)°üÐÄÉú²Ë(°ë),80.0,87.0,7.0,8.75%,91.25%,
2017-08-18,(B)°üÐÄÉú²Ë(°ë),97.0,93.0,-4.0,-4.12%,95.88%,
2017-08-19,(B)°üÐÄÉú²Ë(°ë),129.0,108.0,-21.0,-16.28%,83.72%,
2017-08-15,(B)¶³¶¹¸¯(°ë),76.0,71.0,-5.0,-6.58%,93.42%,
2017-08-16,(B)¶³¶¹¸¯(°ë),70.0,75.0,5.0,7.14%,92.86%,
2017-08-17,(B)¶³¶¹¸¯(°ë),70.0,74.0,4.0,5.71%,94.29%,
2017-08-18,(B)¶³¶¹¸¯(°ë),82.0,81.0,-1.0,-1.22%,98.78%,
2017-08-19,(B)¶³¶¹¸¯(°ë),113.0,115.0,2.0,1.77%,98.23%,
2017-08-15,(B)Ïã¹½(°ë),43.0,42.0,-1.0,-2.33%,97.67%,
2017-08-16,(B)Ïã¹½(°ë),40.0,50.0,10.0,25.00%,75.00%,
2017-08-17,(B)Ïã¹½(°ë),49.0,48.0,-1.0,-2.04%,97.96%,
2017-08-18,(B)Ïã¹½(°ë),51.0,49.0,-2.0,-3.92%,96.08%,
2017-08-19,(B)Ïã¹½(°ë),74.0,70.0,-4.0,-5.41%,94.59%,
2017-08-15,(B)Ä§ÓóË¿(°ë),43.0,34.0,-9.0,-20.93%,79.07%,
2017-08-16,(B)Ä§ÓóË¿(°ë),39.0,42.0,3.0,7.69%,92.31%,
2017-08-17,(B)Ä§ÓóË¿(°ë),41.0,42.0,1.0,2.44%,97.56%,
2017-08-18,(B)Ä§ÓóË¿(°ë),41.0,40.0,-1.0,-2.44%,97.56%,
2017-08-19,(B)Ä§ÓóË¿(°ë),84.0,67.0,-17.0,-20.24%,79.76%,
2017-08-15,1.25L¿É¿Ú¿ÉÀÖ,21.0,17.0,-4.0,-19.05%,80.95%,
2017-08-16,1.25L¿É¿Ú¿ÉÀÖ,21.0,16.0,-5.0,-23.81%,76.19%,
2017-08-17,1.25L¿É¿Ú¿ÉÀÖ,13.0,16.0,3.0,23.08%,76.92%,
2017-08-18,1.25L¿É¿Ú¿ÉÀÖ,17.0,17.0,0.0,0.00%,100.00%,
2017-08-19,1.25L¿É¿Ú¿ÉÀÖ,18.0,26.0,8.0,44.44%,55.56%,
2017-08-15,(B)¸¯Öñ(°ë),71.0,63.0,-8.0,-11.27%,88.73%,
2017-08-16,(B)¸¯Öñ(°ë),71.0,67.0,-4.0,-5.63%,94.37%,
2017-08-17,(B)¸¯Öñ(°ë),59.0,62.0,3.0,5.08%,94.92%,
2017-08-18,(B)¸¯Öñ(°ë),70.0,67.0,-3.0,-4.29%,95.71%,
2017-08-19,(B)¸¯Öñ(°ë),90.0,86.0,-4.0,-4.44%,95.56%,
2017-08-15,(B)Ë®¾§·ÛË¿(°ë),48.0,42.0,-6.0,-12.50%,87.50%,
2017-08-16,(B)Ë®¾§·ÛË¿(°ë),42.0,40.0,-2.0,-4.76%,95.24%,
2017-08-17,(B)Ë®¾§·ÛË¿(°ë),41.0,42.0,1.0,2.44%,97.56%,
2017-08-18,(B)Ë®¾§·ÛË¿(°ë),49.0,47.0,-2.0,-4.08%,95.92%,
2017-08-19,(B)Ë®¾§·ÛË¿(°ë),64.0,63.0,-1.0,-1.56%,98.44%,
2017-08-15,(B)ÑªÍú(°ë),176.0,158.0,-18.0,-10.23%,89.77%,
2017-08-16,(B)ÑªÍú(°ë),161.0,161.0,0.0,0.00%,100.00%,
2017-08-17,(B)ÑªÍú(°ë),160.0,159.0,-1.0,-0.62%,99.38%,
2017-08-18,(B)ÑªÍú(°ë),158.0,176.0,18.0,11.39%,88.61%,
2017-08-19,(B)ÑªÍú(°ë),252.0,232.0,-20.0,-7.94%,92.06%,
2017-08-15,ÜíÝï,30.0,28.0,-2.0,-6.67%,93.33%,
2017-08-16,ÜíÝï,32.0,28.0,-4.0,-12.50%,87.50%,
2017-08-17,ÜíÝï,21.0,26.0,5.0,23.81%,76.19%,
2017-08-18,ÜíÝï,32.0,31.0,-1.0,-3.12%,96.88%,
2017-08-19,ÜíÝï,41.0,35.0,-6.0,-14.63%,85.37%,
2017-08-15,¶¹¸¯,21.0,14.0,-7.0,-33.33%,66.67%,
2017-08-16,¶¹¸¯,10.0,12.0,2.0,20.00%,80.00%,
2017-08-17,¶¹¸¯,12.0,14.0,2.0,16.67%,83.33%,
2017-08-18,¶¹¸¯,12.0,13.0,1.0,8.33%,91.67%,
2017-08-19,¶¹¸¯,21.0,20.0,-1.0,-4.76%,95.24%,
2017-08-15,(B)¾«Æ··ÊÅ£(°ë),80.0,80.0,0.0,0.00%,100.00%,
2017-08-16,(B)¾«Æ··ÊÅ£(°ë),91.0,89.0,-2.0,-2.20%,97.80%,
2017-08-17,(B)¾«Æ··ÊÅ£(°ë),72.0,85.0,13.0,18.06%,81.94%,
2017-08-18,(B)¾«Æ··ÊÅ£(°ë),91.0,87.0,-4.0,-4.40%,95.60%,
2017-08-19,(B)¾«Æ··ÊÅ£(°ë),122.0,120.0,-2.0,-1.64%,98.36%,
2017-08-15,ðÆðÈµ°(°ë),52.0,53.0,1.0,1.92%,98.08%,
2017-08-16,ðÆðÈµ°(°ë),55.0,50.0,-5.0,-9.09%,90.91%,
2017-08-17,ðÆðÈµ°(°ë),52.0,57.0,5.0,9.62%,90.38%,
2017-08-18,ðÆðÈµ°(°ë),53.0,54.0,1.0,1.89%,98.11%,
2017-08-19,ðÆðÈµ°(°ë),86.0,79.0,-7.0,-8.14%,91.86%,
2017-08-15,Ë®¾§·ÛË¿,18.0,15.0,-3.0,-16.67%,83.33%,
2017-08-16,Ë®¾§·ÛË¿,13.0,13.0,0.0,0.00%,100.00%,
2017-08-17,Ë®¾§·ÛË¿,13.0,14.0,1.0,7.69%,92.31%,
2017-08-18,Ë®¾§·ÛË¿,18.0,14.0,-4.0,-22.22%,77.78%,
2017-08-19,Ë®¾§·ÛË¿,18.0,20.0,2.0,11.11%,88.89%,
2017-08-15,(B)Ð·Î¶°ô(°ë),60.0,51.0,-9.0,-15.00%,85.00%,
2017-08-16,(B)Ð·Î¶°ô(°ë),48.0,52.0,4.0,8.33%,91.67%,
2017-08-17,(B)Ð·Î¶°ô(°ë),49.0,56.0,7.0,14.29%,85.71%,
2017-08-18,(B)Ð·Î¶°ô(°ë),60.0,55.0,-5.0,-8.33%,91.67%,
2017-08-19,(B)Ð·Î¶°ô(°ë),78.0,74.0,-4.0,-5.13%,94.87%,
